Pride and Prejudice, Jane Austen, 1813
1984, George Orwell, 1949
Pather Panchali, Bibhutibhushan Bandopadhyay, 1929
Gitanjali, Rabindranath Tagore, 1910
Gora, Rabindranath Tagore, 1910
The Great Gatsby, F. Scott Fitzgerald, 1925
Slaughterhouse-Five, Kurt Vonnegut, 1969
The Hobbit, J.R.R. Tolkien, 1937
Fahrenheit 451, Ray Bradbury, 1953
The Handmaid's Tale, Margaret Atwood, 1985
Crime and Punishment, Fyodor Dostoevsky, 1866
The Brothers Karamazov, Fyodor Dostoevsky, 1880
War and Peace, Leo Tolstoy, 1869
Anna Karenina, Leo Tolstoy, 1877
The Count of Monte Cristo, Alexandre Dumas, 1844
Don Quixote, Miguel de Cervantes, 1605/1615
Ulysses, James Joyce, 1922
A Tale of Two Cities, Charles Dickens, 1859
The Picture of Dorian Gray, Oscar Wilde, 1890
Lolita, Vladimir Nabokov, 1955
Catch-22, Joseph Heller, 1961
The Master and Margarita, Mikhail Bulgakov, 1967
Invisible Man, Ralph Ellison, 1952
The Sound and the Fury, William Faulkner, 1929
Beloved, Toni Morrison, 1987
One Hundred Years of Solitude, Gabriel Garcia Marquez, 1967
Midnight's Children, Salman Rushdie, 1981
Heart of Darkness, Joseph Conrad, 1899
Things Fall Apart, Chinua Achebe, 1958
The Sun Also Rises, Ernest Hemingway, 1926
The Brief Wondrous Life of Oscar Wao, Junot Díaz, 2007
The Amazing Adventures of Kavalier & Clay, Michael Chabon, 2000
The Goldfinch, Donna Tartt, 2013
The Kite Runner, Khaled Hosseini, 2003
Never Let Me Go, Kazuo Ishiguro, 2005
Persepolis, Marjane Satrapi, 2000
The Hunger Games, Suzanne Collins, 2008
Shantaram, Gregory David Roberts, 2003
